,Areas,Distance,Correlation
0,IT_NORD-IT_CNOR,258.88831249191855,0.6089750318906714
1,IT_NORD-IT_CSUD,463.8889080528676,0.7569790710570928
2,IT_NORD-IT_SUD,732.6010295508003,0.46636492932592405
3,IT_NORD-IT_SICI,921.2759994354421,0.6146308270235711
4,IT_NORD-IT_SARD,580.820639070244,0.028811184369039997
5,IT_NORD-Bayern,437.85339988065624,0.00489450904918743
6,IT_NORD-Hessen,627.4397153546638,-0.022559585322505193
7,IT_NORD-Nordrhein-Westfalen,748.5504458179241,-0.12884298852105144
8,IT_NORD-Bremen/Niedersachsen,849.7560419945605,-0.11590621352415006
9,IT_NORD-Schleswig-Holstein,1014.9169145755849,-0.038161601207358134
10,IT_NORD-Baden-Württemberg,387.60405738836783,0.024886683393259803
11,IT_NORD-SE1,2354.7644217809548,-0.012722746201103795
12,IT_NORD-SE2,1988.0894929901692,-0.027598498718857434
13,IT_NORD-SE3,1536.9020420044837,-0.03676191438169536
14,IT_NORD-SE4,1235.459066204018,-0.015630980806630317
15,IT_NORD-DK1,1182.157987852307,-0.09456816486524998
16,IT_NORD-DK2,1143.7276461491933,-0.1144615742133518
17,IT_CNOR-IT_CSUD,205.39484715800378,0.699282881245309
18,IT_CNOR-IT_SUD,481.02873577442995,0.3405852292084726
19,IT_CNOR-IT_SICI,674.0932270279322,0.46195806701532216
20,IT_CNOR-IT_SARD,451.09145195503515,0.1672086286176602
21,IT_CNOR-Bayern,643.7590484428532,-0.003951178754545586
22,IT_CNOR-Hessen,864.8164467222026,-0.00866191811482692
23,IT_CNOR-Nordrhein-Westfalen,985.0352201579152,-0.10224552221196377
24,IT_CNOR-Bremen/Niedersachsen,1083.7668578159332,-0.08094798927352102
25,IT_CNOR-Schleswig-Holstein,1241.2857221664474,-0.02273088590262214
26,IT_CNOR-Baden-Württemberg,635.7661973290612,0.04521382031280812
27,IT_CNOR-SE1,2532.0182401238617,-0.061010022251955426
28,IT_CNOR-SE2,2176.5239036540324,-0.030553629493586924
